ph_sh, contribution, sigma_tot
-0.794689323, 0.509290625, 26.814935578
0.518724181, 0.737371275, 26.814935578
-1.574943779, 4.999913994, 26.814935578
-0.810850263, 3.678087765, 26.814935578
-0.357887400, 1.104367312, 26.814935578
2.897200967, 0.644023700, 26.814935578
2.110369526, 9.568526711, 26.814935578
-2.815443084, 1.539822838, 26.814935578
0.137028900, 0.317214712, 26.814935578
0.071562499, 0.097136645, 26.814935578
