Veff, y
3999999999999999735441979338971898249487800865721326074446771289230802586798414590502769730383383788683658218398794085902157523253779251173117834021614914469977540001792.000000, 0.000000000000
288990463186494202833131298351409528832.000000, 0.000000000000
70554312307437702252078127304933376.000000, 0.000000000000
543786541157950303146264957550592.000000, 0.000000000000
17225173903921274086303901679616.000000, 0.000000000000
1183704937374215721289854746624.000000, 0.000000000000
132760386028682593459035439104.000000, 0.000000000000
20878871959833013129817620480.000000, 0.000000000000
4205364722727014387599540224.000000, 0.000000000000
1023230313766968166864388096.000000, 0.000000000000
288990463231047440132997120.000000, 0.000000000000
92081267609938592656261120.000000, 0.000000000000
32412203620735615313641472.000000, 0.000000000000
12404043581813722544340992.000000, 0.000000000000
5097380849626574820999168.000000, 0.000000000000
2227349672681793472430080.000000, 0.000000000000
1026700371768529261690880.000000, 0.000000000000
496016878117089984905216.000000, 0.000000000000
249812088323408570351616.000000, 0.000000000000
130569066671162666254336.000000, 0.000000000000
70554312312349205200896.000000, 0.000000000000
39287281109217178550272.000000, 0.000000000000
22480778224962631630848.000000, 0.000000000000
13187105447565573750784.000000, 0.000000000000
7913135649475057942528.000000, 0.000000000000
4848455423478527426560.000000, 0.000000000000
3028330952502871588864.000000, 0.000000000000
1925388356813620772864.000000, 0.000000000000
1244477746429031874560.000000, 0.000000000000
816784591632735928320.000000, 0.000000000000
543786541139276988416.000000, 0.000000000000
366896175815567343616.000000, 0.000000000000
250659270421474541568.000000, 0.000000000000
173267150251718934528.000000, 0.000000000000
121097870613000945664.000000, 0.000000000000
85519859530657234944.000000, 0.000000000000
60989279360747618304.000000, 0.000000000000
43899828358324199424.000000, 0.000000000000
31877213531792629760.000000, 0.000000000000
23340396350290714624.000000, 0.000000000000
17225173896285030400.000000, 0.000000000000
12807879420527261696.000000, 0.000000000000
9591621358496851968.000000, 0.000000000000
7232060388299642880.000000, 0.000000000000
5488471241737876480.000000, 0.000000000000
4191151361159171584.000000, 0.000000000000
3219508162389038592.000000, 0.000000000000
2487191445843916800.000000, 0.000000000000
1931917880443090944.000000, 0.000000000000
1508448717454814720.000000, 0.000000000000
1183704935234784256.000000, 0.000000000000
933343263118554496.000000, 0.000000000000
739338609760510592.000000, 0.000000000000
588265087874118784.000000, 0.000000000000
470065515451894080.000000, 0.000000000000
377164870906817152.000000, 0.000000000000
303827573727521856.000000, 0.000000000000
245688733360492416.000000, 0.000000000000
199410299813024800.000000, 0.000000000000
162427428703799488.000000, 0.000000000000
132760385303373136.000000, 0.000000000000
108874328237130128.000000, 0.000000000000
89574261084745808.000000, 0.000000000000
73925950050594544.000000, 0.000000000000
61196110455882280.000000, 0.000000000000
50806962060867800.000000, 0.000000000000
42301549949615720.000000, 0.000000000000
35317168233184344.000000, 0.000000000000
29564909479187696.000000, 0.000000000000
24813865095903444.000000, 0.000000000000
20878871671304620.000000, 0.000000000000
17610971732214032.000000, 0.000000000000
14889960541233900.000000, 0.000000000000
12618542127912442.000000, 0.000000000000
10717731329002510.000000, 0.000000000000
9123224068370552.000000, 0.000000000000
7782522661248845.000000, 0.000000000000
6652651882453389.000000, 0.000000000000
5698338804105805.000000, 0.000000000000
4890557880906816.000000, 0.000000000000
4205364593111912.000000, 0.000000000000
3622957756240533.000000, 0.000000000000
3126923576569533.500000, 0.000000000000
2703624578513777.000000, 0.000000000000
2341704337962569.000000, 0.000000000000
2031685042642419.000000, 0.000000000000
1765639660515881.000000, 0.000000000000
1536924230582205.250000, 0.000000000000
1339958727189064.250000, 0.000000000000
1170047265671519.500000, 0.000000000000
1023230249809603.750000, 0.000000000000
896162515316724.125000, 0.000000000000
786012679764941.125000, 0.000000000000
690379831304703.000000, 0.000000000000
607224425571196.750000, 0.000000000000
534810850840819.187500, 0.000000000000
471659596024975.125000, 0.000000000000
416507338209962.625000, 0.000000000000
368273574880121.187500, 0.000000000000
326032675475313.312500, 0.000000000000
288990429236890.875000, 0.000000000000
256464330679166.593750, 0.000000000000
227866977879642.312500, 0.000000000000
202692068007814.375000, 0.000000000000
180502563824185.937500, 0.000000000000
160920678055839.531250, 0.000000000000
143619382626442.656250, 0.000000000000
128315199128542.109375, 0.000000000000
114762067643589.203125, 0.000000000000
102746124631959.156250, 0.000000000000
92081248420104.859375, 0.000000000000
82605253850924.171875, 0.000000000000
74176636786782.484375, 0.000000000000
66671785055270.656250, 0.000000000000
59982585671125.406250, 0.000000000000
54014369216192.562500, 0.000000000000
48684141491684.812500, 0.000000000000
43919060284120.062500, 0.000000000000
39655121563836.632812, 0.000000000000
35836024873314.976562, 0.000000000000
32412192235368.683594, 0.000000000000
29339918762052.964844, 0.000000000000
26580636392664.796875, 0.000000000000
24100274931917.714844, 0.000000000000
21868706879023.910156, 0.000000000000
19859264503003.781250, 0.000000000000
18048319285688.019531, 0.000000000000
16414915268832.158203, 0.000000000000
14940449044982.451172, 0.000000000000
13608390156243.882812, 0.000000000000
12404036538560.265625, 0.000000000000
11314300394742.101562, 0.000000000000
10327520516766.529297, 0.000000000000
9433297623233.791016, 0.000000000000
8622349745122.559570, 0.000000000000
7886385093797.676758, 0.000000000000
7217990189444.651367, 0.000000000000
6610531324061.155273, 0.000000000000
6058067687886.950195, 0.000000000000
5555274707678.449219, 0.000000000000
5097376334614.131836, 0.000000000000
4680085183167.794922, 0.000000000000
4299549563681.433105, 0.000000000000
3952306573740.198242, 0.000000000000
3635240519465.819824, 0.000000000000
3345546029784.413574, 0.000000000000
3080695306536.884277, 0.000000000000
2838409022655.454102, 0.000000000000
2616630440955.532227, 0.000000000000
