E, l0, l1, l2, l3, l4, l5, l6
0.080678, 1.333600, -0.718122, -0.131433, 0.008640, 1.390495, -3.095454, -3.124307
0.081864, 1.316901, -0.732031, -0.139734, 0.005889, 1.608803, -3.093959, -3.123718
0.083051, 1.300347, 2.395744, -0.148067, 0.003052, 1.812775, -3.092447, -3.123113
0.084237, 1.283932, 2.382018, -0.156426, 0.000129, 1.989211, -3.090915, -3.122494
0.085424, 1.267650, 2.368378, -0.164805, -0.002880, 2.134527, -3.089359, -3.121867
0.086610, 1.251496, 2.354823, -0.173198, -0.005972, 2.251495, -3.087776, -3.121233
0.087797, 1.235464, 2.341348, -0.181601, -0.009146, 2.345154, -3.086161, -3.120598
0.088983, 1.219550, 2.327950, -0.190012, -0.012399, 2.420510, -3.084509, -3.119963
0.090169, 1.203748, 2.314625, -0.198428, -0.015725, 2.481719, -3.082816, -3.119331
0.091356, 1.188056, 2.301368, 2.934745, -0.019122, -0.609592, -3.081077, -3.118704
0.092542, 1.172470, 2.288178, 2.926323, -0.022584, -0.567813, -3.079289, -3.118083
0.093729, 1.156988, 2.275050, 2.917898, -0.026105, -0.532718, -3.077449, -3.117468
0.094915, 1.141607, 2.261982, 2.909470, -0.029682, -0.502946, -3.075553, -3.116859
0.096102, 1.126328, 2.248973, 2.901037, -0.033308, -0.477461, -3.073600, -3.116255
0.097288, 1.111147, 2.236020, 2.892599, -0.036979, -0.455474, -3.071590, -3.115654
0.098475, 1.096067, 2.223123, 2.884154, -0.040692, -0.436372, 0.072071, -3.115053
0.099661, 1.081086, 2.210281, 2.875699, -0.044441, -0.419677, 0.074196, -3.114450
0.100847, 1.066205, 2.197496, 2.867235, -0.048225, -0.405006, 0.076378, -3.113842
0.102034, 1.051425, 2.184766, 2.858759, -0.052041, -0.392056, 0.078614, -3.113226
0.103220, 1.036747, 2.172094, 2.850270, -0.055887, -0.380580, 0.080903, -3.112598
0.104407, 1.022170, 2.159480, 2.841768, 3.081830, -0.370373, 0.083242, -3.111957
0.105593, 1.007696, 2.146927, 2.833254, 3.077924, -0.361268, 0.085629, -3.111297
0.106780, 0.993325, 2.134436, 2.824726, 3.073990, -0.353125, 0.088062, -3.110619
0.107966, 0.979057, 2.122008, 2.816187, 3.070024, -0.345826, 0.090539, -3.109919
0.109152, 0.964893, 2.109646, 2.807638, 3.066027, -0.339269, 0.093059, -3.109197
0.110339, 0.950831, 2.097352, 2.799080, 3.061997, -0.333368, 0.095621, -3.108451
0.111525, 0.936871, 2.085125, 2.790516, 3.057932, -0.328050, 0.098225, -3.107682
0.112712, 0.923012, 2.072968, 2.781948, 3.053829, -0.323249, 0.100870, 0.034703
0.113898, -2.232341, 2.060882, 2.773379, 3.049689, -0.318911, 0.103558, 0.035517
