E, sigma_tot
0.345254, 31.782570
0.346440, 31.794072
0.347627, 31.807686
0.348813, 31.823366
0.350000, 31.841063
0.351186, 31.860728
0.352373, 31.882307
0.353559, 31.905743
0.354746, 31.930978
0.355932, 31.957950
0.357118, 31.986594
0.358305, 32.016846
0.359491, 32.048636
0.360678, 32.081896
0.361864, 32.116554
0.363051, 32.152538
0.364237, 32.189778
0.365424, 32.228200
0.366610, 32.267733
0.367796, 32.308305
0.368983, 32.349848
0.370169, 32.392293
0.371356, 32.435574
0.372542, 32.479627
0.373729, 32.524390
0.374915, 32.569805
0.376101, 32.615814
0.377288, 32.662366
0.378474, 32.709409
0.379661, 32.756896
0.380847, 32.804781
0.382034, 32.853023
0.383220, 32.901581
0.384407, 32.950417
0.385593, 32.999494
0.386779, 33.048776
0.387966, 33.098230
0.389152, 33.147819
0.390339, 33.197510
0.391525, 33.247267
0.392712, 33.297054
0.393898, 33.346834
0.395085, 33.396565
0.396271, 33.446207
0.397457, 33.495713
0.398644, 33.545036
0.399830, 33.594125
0.401017, 33.642925
0.402203, 33.691378
0.403390, 33.739423
0.404576, 33.786993
0.405762, 33.834022
0.406949, 33.880436
0.408135, 33.926163
0.409322, 33.971125
0.410508, 34.015244
0.411695, 34.058440
0.412881, 34.100632
0.414068, 34.141739
0.415254, 34.181680
0.416440, 34.220375
0.417627, 34.257747
0.418813, 34.293720
0.420000, 34.328221
0.421186, 34.361180
0.422373, 34.392534
0.423559, 34.422221
0.424746, 34.450187
0.425932, 34.476380
0.427118, 34.500758
0.428305, 34.523281
0.429491, 34.543917
0.430678, 34.562640
0.431864, 34.579429
0.433051, 34.594270
0.434237, 34.607154
0.435423, 34.618078
0.436610, 34.627042
0.437796, 34.634054
0.438983, 34.639123
0.440169, 34.642263
0.441356, 34.643493
0.442542, 34.642832
0.443729, 34.640303
0.444915, 34.635931
0.446101, 34.629740
0.447288, 34.621759
0.448474, 34.612014
0.449661, 34.600532
0.450847, 34.587341
0.452034, 34.572466
0.453220, 34.555934
0.454407, 34.537770
0.455593, 34.517997
0.456779, 34.496637
0.457966, 34.473711
0.459152, 34.449240
0.460339, 34.423241
0.461525, 34.395734
0.462712, 34.366733
0.463898, 34.336256
0.465084, 34.304317
0.466271, 34.270931
0.467457, 34.236113
0.468644, 34.199879
0.469830, 34.162243
0.471017, 34.123223
0.472203, 34.082835
0.473390, 34.041099
0.474576, 33.998034
0.475762, 33.953663
0.476949, 33.908010
0.478135, 33.861101
0.479322, 33.812965
0.480508, 33.763632
0.481695, 33.713136
0.482881, 33.661512
0.484068, 33.608798
0.485254, 33.555035
0.486440, 33.500265
0.487627, 33.444532
0.488813, 33.387882
0.490000, 33.330364
0.491186, 33.272025
0.492373, 33.212917
0.493559, 33.153088
0.494745, 33.092591
0.495932, 33.031476
0.497118, 32.969793
0.498305, 32.907593
0.499491, 32.844924
0.500678, 32.781835
0.501864, 32.718370
0.503051, 32.654574
0.504237, 32.590489
0.505423, 32.526154
0.506610, 32.461607
0.507796, 32.396881
0.508983, 32.332008
0.510169, 32.267016
0.511356, 32.201931
0.512542, 32.136773
0.513729, 32.071562
0.514915, 32.006314
0.516101, 31.941040
0.517288, 31.875750
0.518474, 31.810450
0.519661, 31.745144
0.520847, 31.679833
0.522034, 31.614514
0.523220, 31.549185
0.524406, 31.483838
0.525593, 31.418465
0.526779, 31.353058
0.527966, 31.287604
0.529152, 31.222092
0.530339, 31.156508
0.531525, 31.090840
0.532712, 31.025073
0.533898, 30.959194
0.535084, 30.893189
0.536271, 30.827046
0.537457, 30.760752
0.538644, 30.694296
0.539830, 30.627670
0.541017, 30.560864
0.542203, 30.493873
0.543390, 30.426692
0.544576, 30.359319
0.545762, 30.291754
0.546949, 30.223999
0.548135, 30.156059
0.549322, 30.087940
0.550508, 30.019652
0.551695, 29.951206
0.552881, 29.882618
0.554067, 29.813902
0.555254, 29.745078
0.556440, 29.676166
0.557627, 29.607189
0.558813, 29.538172
0.560000, 29.469139
0.561186, 29.400120
0.562373, 29.331141
0.563559, 29.262233
0.564745, 29.193427
0.565932, 29.124752
0.567118, 29.056242
0.568305, 28.987927
0.569491, 28.919840
0.570678, 28.852012
0.571864, 28.784475
0.573051, 28.717259
0.574237, 28.650396
0.575423, 28.583916
0.576610, 28.517847
0.577796, 28.452219
0.578983, 28.387059
0.580169, 28.322394
0.581356, 28.258250
0.582542, 28.194653
0.583728, 28.131627
0.584915, 28.069197
0.586101, 28.007386
0.587288, 27.946218
0.588474, 27.885715
0.589661, 27.825901
0.590847, 27.766800
0.592034, 27.708437
